id,status,title,artist,style,sources,spotifyUrls,youtubeUrls,cifraClubUrls,ultimateGuitarUrls,tags,notes
"dazaranha-tribo-da-lua","toco","Tribo da Lua","Dazaranha","Rock","Spotify | Cifra Club","https://open.spotify.com/track/0MygUPBEUoX6uWhIKtFO8n","","https://www.cifraclub.com.br/dazaranha/tribo-da-lua/","","repertório",""
"anna-kendrick-justin-timberlake-true-colors-film-version","quero aprender","True Colors - Film Version","Anna Kendrick, Justin Timberlake","Unclassified","Spotify","https://open.spotify.com/track/1JY9hsqLWZ3JB3K39Ve1xF","","","","backlog","Spotify-only entry from playlist export."
"natiruts-tudo-vai-dar-certo","toco","Tudo Vai Dar Certo","Natiruts","Reggae","Cifra Club","","","https://www.cifraclub.com.br/natiruts/tudo-vai-dar-certo/","","repertório",""
"jack-johnson-upside-down","toco","Upside Down","Jack Johnson","Folk","YouTube | Ultimate Guitar","","https://www.youtube.com/watch?v=3cWM079L8HU&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=23","","https://tabs.ultimate-guitar.com/tab/jack-johnson/upside-down-official-1484","repertório",""
"dazaranha-vagabundo-confesso","toco","Vagabundo Confesso","Dazaranha","Rock","Cifra Club","","","https://www.cifraclub.com.br/dazaranha/vagabundo-confesso/","","repertório",""
"vitor-kley-vai-na-fe","quero aprender","Vai Na Fé","Vitor Kley","Pop","Spotify","https://open.spotify.com/track/2lvkFobAB8VzYgIIeIpSBO","","","","backlog","Spotify-only entry from playlist export."
"o-rappa-vapor-barato","toco","Vapor Barato","O Rappa","Rock","Spotify | Cifra Club","https://open.spotify.com/track/2FHHmwpksVebKcquX3QMdF","","https://www.cifraclub.com.br/o-rappa/vapor-barato/","","repertório",""
"gilsons-varias-queixas","toco","Várias Queixas","Gilsons","MPB","Spotify | YouTube | Cifra Club","https://open.spotify.com/track/5Jc9kRv6MLUQkDTAt7J1ro","https://www.youtube.com/watch?v=8ezRp7FGwJY&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=7","https://www.cifraclub.com.br/gilsons/varias-queixas/","","repertório",""
"tribalistas-velha-infancia","toco","Velha Infância","Tribalistas","MPB","Cifra Club","","","https://www.cifraclub.com.br/tribalistas/velha-infancia/","","repertório",""
"gilsons-vento-alecrim","quero aprender","Vento Alecrim","Gilsons","MPB","Spotify","https://open.spotify.com/track/0MuDhSPR7wZxIBHDk6NDoD","","","","backlog","Spotify-only entry from playlist export."
"tim-maia-voce","toco","Você","Tim Maia","MPB","Cifra Club","","","https://www.cifraclub.com.br/tim-maia/voce/","","repertório",""
"anitta-caetano-veloso-voce-mentiu","quero aprender","Você mentiu","Anitta, Caetano Veloso","MPB","Spotify","https://open.spotify.com/track/2GsvXMAz16fKroAmaCxLfL","","","","backlog","Spotify-only entry from playlist export."
"bon-jovi-wanted-dead-or-alive","toco","Wanted Dead Or Alive","Bon Jovi","Rock","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/bon-jovi/wanted-dead-or-alive-official-1481","repertório",""
"israel-kamakawiwoole-what-a-wonderful-world","toco","What a Wonderful World","Israel Kamakawiwo'ole","Folk","Spotify | Cifra Club","https://open.spotify.com/track/1Fzm9s6Fh1Eumj5tU4q20m","","https://www.cifraclub.com.br/israel-kamakawiwoole/what-a-wonderful-world/","","repertório",""
"4-non-blondes-whats-up","toco","What's Up","4 Non Blondes","Rock","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/4-non-blondes/whats-up-official-191355","repertório",""
"green-day-when-i-come-around","toco","When I Come Around","Green Day","Punk Rock","YouTube | Ultimate Guitar","","https://www.youtube.com/watch?v=E5ndUSn5-EI&list=PLf7ayjqcbk-2HApJ5o8lhXI5jvKSCqsqY&index=6","","https://tabs.ultimate-guitar.com/tab/green-day/when-i-come-around-official-191358","repertório",""
"cat-stevens-yusuf-islam-wild-world","toco","Wild World","Cat Stevens (Yusuf Islam)","Folk","Spotify | Ultimate Guitar","https://open.spotify.com/track/7mjSHL2Eb0kAwiKbvNNyD9","","","https://tabs.ultimate-guitar.com/tab/cat-stevens/wild-world-official-1480","repertório",""
"pink-floyd-wish-you-were-here","toco","Wish You Were Here","Pink Floyd","Rock","Ultimate Guitar","","","","https://tabs.ultimate-guitar.com/tab/pink-floyd/wish-you-were-here-official-14838","repertório",""
"oasis-wonderwall","toco","Wonderwall","Oasis","Rock","Cifra Club | Ultimate Guitar","","","https://www.cifraclub.com.br/oasis/wonderwall/","https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-27596","repertório",""
"the-cranberries-zombie","toco","Zombie","The Cranberries","Rock","Cifra Club","","","https://www.cifraclub.com.br/the-cranberries/zombie/","","repertório",""
